Player,Pos,FG%,3P%,2P%,eFG%,PS/G
Quincy Acy,PF,0.459,0.3,0.494,0.486,5.9
Jordan Adams,SG,0.407,0.4,0.41,0.465,3.1
Steven Adams,C,0.544,0,0.547,0.544,7.7
Jeff Adrien,PF,0.432,0,0.432,0.432,3.5
Arron Afflalo,SG,0.424,0.354,0.466,0.491,13.3
Alexis Ajinca,C,0.55,0,0.55,0.55,6.5
Furkan Aldemir,PF,0.513,0,0.548,0.513,2.3
Cole Aldrich,C,0.478,0,0.478,0.478,5.5
LaMarcus Aldridge,PF,0.466,0.352,0.475,0.479,23.4
Lavoy Allen,C,0.472,0,0.472,0.472,5
Tony Allen,SG,0.495,0.345,0.505,0.505,8.6
Al-Farouq Aminu,SF,0.412,0.274,0.485,0.459,5.6
Lou Amundson,PF,0.427,0,0.429,0.427,4.9
Chris Andersen,C,0.58,0.308,0.598,0.589,5.3
Alan Anderson,SG,0.443,0.348,0.53,0.526,7.4
Kyle Anderson,SF,0.348,0.273,0.359,0.365,2.2
Ryan Anderson,PF,0.399,0.34,0.457,0.483,13.7
Giannis Antetokounmpo,SG,0.491,0.159,0.511,0.496,12.7
Carmelo Anthony,SF,0.444,0.341,0.474,0.482,24.2
Joel Anthony,C,0.581,0,0.581,0.581,1.8
Pero Antic,C,0.365,0.301,0.455,0.453,5.7
Trevor Ariza,SF,0.402,0.35,0.485,0.509,12.8
Darrell Arthur,PF,0.404,0.236,0.471,0.438,6.6
Omer Asik,C,0.517,0,0.517,0.517,7.3
D.J. Augustin,PG,0.399,0.337,0.436,0.463,9.5
Jeff Ayres,PF,0.579,0,0.579,0.579,2.7
Luke Babbitt,SF,0.479,0.513,0.429,0.633,4.1
Cameron Bairstow,PF,0.214,0,0.214,0.214,0.6
Leandro Barbosa,SG,0.474,0.384,0.511,0.53,7.1
J.J. Barea,PG,0.42,0.323,0.463,0.47,7.5
Andrea Bargnani,C,0.454,0.366,0.466,0.475,14.8
Harrison Barnes,SF,0.482,0.405,0.519,0.548,10.1
Matt Barnes,SF,0.444,0.362,0.569,0.553,10.1
Earl Barron,C,0.308,0.5,0.286,0.333,2
Will Barton,SG,0.425,0.271,0.474,0.458,6.8
Brandon Bass,PF,0.504,0.281,0.515,0.51,10.6
Nicolas Batum,SF,0.4,0.324,0.481,0.483,9.4
Jerryd Bayless,PG,0.426,0.308,0.462,0.462,7.8
Aron Baynes,C,0.566,0.25,0.57,0.567,6.6
Kent Bazemore,SG,0.426,0.364,0.467,0.498,5.2
Bradley Beal,SG,0.427,0.409,0.434,0.489,15.3
Michael Beasley,PF,0.434,0.235,0.472,0.453,8.8
Marco Belinelli,SG,0.423,0.374,0.471,0.515,9.2
Anthony Bennett,PF,0.421,0.304,0.431,0.433,5.2
Patrick Beverley,PG,0.383,0.356,0.426,0.492,10.1
Sim Bhullar,C,0.5,0,0.5,0.5,0.7
Bismack Biyombo,C,0.543,0,0.543,0.543,4.8
Tarik Black,C,0.575,0,0.577,0.575,6
DeJuan Blair,PF,0.456,0,0.456,0.456,1.9
Steve Blake,PG,0.373,0.352,0.417,0.491,4.3
Eric Bledsoe,PG,0.447,0.324,0.491,0.489,17
Vander Blue,SG,0.3,0.2,0.35,0.333,11
Bojan Bogdanovic,SF,0.453,0.355,0.531,0.532,9
Andrew Bogut,C,0.563,0,0.563,0.563,6.3
Matt Bonner,PF,0.409,0.365,0.462,0.509,3.7
Trevor Booker,PF,0.487,0.345,0.518,0.518,7.2
Carlos Boozer,PF,0.499,0,0.499,0.499,11.8
Chris Bosh,C,0.46,0.375,0.485,0.503,21.1
Avery Bradley,SG,0.429,0.352,0.47,0.49,13.9
Elton Brand,C,0.442,0,0.447,0.442,2.7
Corey Brewer,SF,0.426,0.268,0.491,0.465,11.5
Aaron Brooks,PG,0.421,0.387,0.442,0.495,11.6
Jabari Brown,SG,0.412,0.371,0.435,0.479,11.9
Lorenzo Brown,PG,0.426,0.214,0.489,0.451,4.2
Markel Brown,SG,0.362,0.266,0.404,0.402,4.6
Shannon Brown,SG,0.368,0.429,0.333,0.447,4
Kobe Bryant,SG,0.373,0.293,0.401,0.411,22.3
Chase Budinger,SF,0.433,0.364,0.474,0.5,6.8
Reggie Bullock,SF,0.343,0.326,0.375,0.45,1.9
Trey Burke,PG,0.368,0.318,0.4,0.43,12.8
Alec Burks,SG,0.403,0.382,0.409,0.447,13.9
Caron Butler,SF,0.407,0.379,0.441,0.511,5.9
Jimmy Butler,SG,0.462,0.378,0.484,0.502,20
Rasual Butler,SF,0.422,0.387,0.45,0.51,7.7
Dwight Buycks,PG,0.45,0.636,0.379,0.538,8.7
Will Bynum,SG,0.323,0,0.455,0.323,3.1
Bruno Caboclo,SF,0.333,0.667,0.222,0.417,1.3
Nick Calathes,SG,0.421,0.256,0.456,0.443,4.2
Jose Calderon,PG,0.415,0.415,0.415,0.499,9.1
Kentavious Caldwell-Pope,SG,0.401,0.345,0.449,0.48,12.7
Isaiah Canaan,PG,0.386,0.37,0.417,0.507,9.2
Clint Capela,C,0.483,0,0.483,0.483,2.7
DeMarre Carroll,SF,0.487,0.395,0.567,0.579,12.6
Vince Carter,SG,0.333,0.297,0.379,0.417,5.8
Michael Carter-Williams,PG,0.396,0.235,0.428,0.416,14.6
Omri Casspi,SF,0.489,0.402,0.512,0.53,8.9
Mario Chalmers,PG,0.403,0.294,0.467,0.458,10.2
Tyson Chandler,C,0.666,,0.666,0.666,10.3
Wilson Chandler,SF,0.429,0.342,0.49,0.5,13.9
Will Cherry,PG,0.263,0.222,0.3,0.316,1.9
Patrick Christopher,SG,0.25,0,0.375,0.25,1.5
Earl Clark,PF,0.367,0.286,0.438,0.433,2.7
Ian Clark,SG,0.345,0.333,0.36,0.436,1.9
Jordan Clarkson,PG,0.448,0.314,0.482,0.48,11.9
Victor Claver,SF,0.45,0.545,0.333,0.6,2.4
Norris Cole,PG,0.412,0.313,0.458,0.461,7.6
Darren Collison,PG,0.473,0.373,0.514,0.527,16.1
Nick Collison,PF,0.419,0.267,0.466,0.451,4.1
Mike Conley,PG,0.446,0.386,0.473,0.506,15.8
Jack Cooley,C,0.409,,0.409,0.409,1.7
Chris Copeland,SF,0.361,0.311,0.42,0.445,6.2
Bryce Cotton,PG,0.42,0.35,0.449,0.471,5.3
DeMarcus Cousins,C,0.467,0.25,0.469,0.468,24.1
Robert Covington,SF,0.396,0.374,0.426,0.506,13.5
Allen Crabbe,SG,0.412,0.353,0.485,0.51,3.3
Jamal Crawford,SG,0.396,0.327,0.448,0.467,15.8
Jae Crowder,SF,0.42,0.293,0.499,0.476,7.7
Dante Cunningham,PF,0.457,0.1,0.468,0.459,5.2
Jared Cunningham,SG,0.364,0.308,0.4,0.424,1.8
Seth Curry,PG,0,0,0,0,0
Stephen Curry,PG,0.487,0.443,0.528,0.594,23.8
Samuel Dalembert,C,0.438,,0.438,0.438,4
Troy Daniels,SG,0.37,0.364,0.383,0.5,3.7
Luigi Datome,SF,0.483,0.45,0.51,0.584,5
Brandon Davies,PF,0.401,0.235,0.456,0.431,5.3
Anthony Davis,PF,0.535,0.083,0.54,0.536,24.4
Ed Davis,PF,0.601,,0.601,0.601,8.3
Glen Davis,PF,0.459,0,0.466,0.459,4
Andre Dawkins,SG,0.167,0.167,,0.25,0.8
Austin Daye,SF,0.355,0.338,0.371,0.44,3.8
Dewayne Dedmon,C,0.562,0,0.565,0.562,3.7
Matthew Dellavedova,SG,0.362,0.407,0.307,0.472,4.8
Luol Deng,SF,0.469,0.355,0.513,0.518,14
DeMar DeRozan,SG,0.413,0.284,0.426,0.426,20.1
Boris Diaw,PF,0.46,0.32,0.512,0.503,8.7
Gorgui Dieng,C,0.506,0.167,0.51,0.507,9.7
Spencer Dinwiddie,PG,0.302,0.185,0.375,0.337,4.3
Joey Dorsey,PF,0.552,0,0.556,0.552,2.7
Toney Douglas,SG,0.373,0.278,0.424,0.422,4.3
Chris Douglas-Roberts,SG,0.238,0.143,0.286,0.262,1.6
Goran Dragic,SG-PG,0.501,0.347,0.555,0.546,16.3
Zoran Dragic,SG,0.367,0.214,0.5,0.417,1.8
Larry Drew,PG,0.345,0.154,0.5,0.379,3.8
Andre Drummond,C,0.514,0,0.515,0.514,13.8
Jared Dudley,SG,0.468,0.385,0.537,0.556,7.2
